GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Lineups,-1629647-1629650-1629652-1629676-1630177-,D. Bazley - M. Brown - L. Dort - I. Roby - T. Maledon,1610612760,OKC,5,0,5,0.0,91.9,65,178,0.365,18,74,0.243,28,45,0.622,29,70,99,29,30.0,11,11,13,33,42,176,-43.0,958,8622,14449,8622,99,136,89,9044,152,84,7025,125,78,5954,49,95,80,219,14731,163,76,14750,14710,73,137,14808
Lineups,-201144-203497-203903-1627777-1629671-,M. Conley - R. Gobert - J. Clarkson - G. Niang - M. Oni,1610612762,UTA,11,10,1,0.909,91.80166666666666,83,164,0.506,36,85,0.424,24,36,0.667,14,84,98,53,30.0,14,10,2,36,42,226,78.0,211,80,4787,4790,100,99,105,4368,64,66,4319,169,123,5423,164,69,83,94,14731,106,93,12872,14726,73,98,10
Lineups,-200768-203920-1627783-1627832-1628384-,K. Lowry - K. Birch - P. Siakam - F. VanVleet - O. Anunoby,1610612761,TOR,4,2,2,0.5,91.75,84,171,0.491,34,91,0.374,27,33,0.818,16,66,82,65,17.0,15,8,9,30,30,229,41.0,1342,1419,11786,6055,101,94,98,6440,67,61,4975,134,145,4168,134,106,113,69,14603,98,134,14704,14691,126,94,41
Lineups,-201568-203503-1628381-1628989-1629027-,D. Gallinari - T. Snell - J. Collins - K. Huerter - T. Young,1610612737,ATL,17,11,6,0.647,91.63833333333334,75,148,0.507,36,80,0.45,49,56,0.875,12,65,77,52,17.0,13,11,4,38,44,235,40.0,69,60,14594,5755,102,112,126,4365,64,73,4016,51,56,3673,215,111,122,97,14603,122,76,14262,14738,67,92,43
Lineups,-202692-203901-203944-1629011-1629628-,A. Burks - E. Payton - J. Randle - M. Robinson - R. Barrett,1610612752,NYK,12,6,6,0.5,91.62666666666667,75,167,0.449,18,43,0.419,29,44,0.659,20,78,98,41,30.0,12,5,16,41,32,197,-4.0,172,254,14594,6055,103,112,104,7121,152,187,4340,116,81,5869,95,79,83,126,14731,135,260,14776,14750,115,117,11572
Lineups,-203200-1627734-1627747-1627763-1628410-,J. Holiday - D. Sabonis - C. LeVert - M. Brogdon - E. Sumner,1610612754,IND,7,4,3,0.571,91.58833333333334,93,185,0.503,27,72,0.375,33,39,0.846,17,65,82,57,20.0,20,9,9,33,32,246,17.0,542,534,13478,5959,104,82,88,4379,98,88,4868,96,109,3891,119,111,113,84,14652,54,107,14704,14710,115,84,213
Lineups,-201566-203078-203458-1629060-1630166-,R. Westbrook - B. Beal - A. Len - R. Hachimura - D. Avdija,1610612764,WAS,14,8,6,0.571,90.88333333333334,83,173,0.48,12,42,0.286,31,40,0.775,15,77,92,56,31.0,15,9,15,31,30,209,-7.0,118,139,14594,5959,105,99,97,6551,295,193,6321,105,104,4553,152,81,91,87,14738,98,107,14766,14697,126,107,13391
Lineups,-201566-201577-202722-203526-1630166-,R. Westbrook - R. Lopez - D. Bertans - R. Neto - D. Avdija,1610612764,WAS,17,7,10,0.412,89.61833333333334,74,178,0.416,19,66,0.288,29,39,0.744,17,60,77,45,20.0,11,5,8,33,43,196,-14.0,69,190,14781,7678,106,116,89,7974,147,102,6320,116,109,5156,119,124,122,114,14652,163,260,14668,14710,71,118,14512
Lineups,-201961-203486-203924-1626153-1630180-,W. Ellington - M. Plumlee - J. Grant - D. Wright - S. Bey,1610612765,DET,10,1,9,0.1,87.62833333333333,69,161,0.429,29,74,0.392,21,28,0.75,17,52,69,55,30.0,17,9,8,27,30,188,-25.0,271,2861,14761,8621,107,122,109,7491,86,84,4788,200,196,4604,119,150,138,90,14731,75,107,14668,14663,126,124,14748
Lineups,-202330-202687-1626179-1628970-1630163-,G. Hayward - B. Biyombo - T. Rozier - M. Bridges - L. Ball,1610612766,CHA,25,12,13,0.48,87.39,77,171,0.45,26,60,0.433,21,31,0.677,26,64,90,50,34.0,14,10,15,36,28,201,-33.0,25,46,14808,7592,108,106,98,7092,105,118,4141,200,163,5418,60,114,95,99,14752,106,93,14766,14726,150,113,14788
Lineups,-201152-203107-203897-1628374-1630172-,T. Young - T. Satoransky - Z. LaVine - L. Markkanen - P. Williams,1610612741,CHI,9,3,6,0.333,87.01333333333334,85,160,0.531,20,47,0.426,20,23,0.87,17,70,87,57,28.0,13,10,14,28,22,210,10.0,351,833,14594,7835,109,92,111,4139,138,166,4314,221,256,3743,119,95,102,84,14723,122,93,14759,14671,232,106,664
Lineups,-202683-203081-203468-203496-1626181-,E. Kanter - D. Lillard - C. McCollum - R. Covington - N. Powell,1610612757,POR,16,7,9,0.438,85.56,76,161,0.472,20,60,0.333,46,53,0.868,24,64,88,33,20.0,6,7,7,29,38,218,2.0,81,190,14761,7629,110,109,109,6672,138,118,5164,54,61,3746,69,114,100,185,14652,386,161,14623,14681,85,100,3758
Lineups,-202685-203937-1626145-1628415-1629634-,J. Valanciunas - K. Anderson - T. Jones - D. Brooks - B. Clarke,1610612763,MEM,8,5,3,0.625,85.35833333333333,66,160,0.413,12,42,0.286,13,18,0.722,24,63,87,47,24.0,16,10,15,22,25,157,-22.0,428,370,13478,5775,111,129,111,7992,295,193,6321,436,379,5234,69,119,102,106,14695,85,93,14766,14593,180,159,14720
Lineups,-203501-203939-1626196-1627827-1629029-,T. Hardaway Jr. - D. Powell - J. Richardson - D. Finney-Smith - L. Doncic,1610612742,DAL,15,9,6,0.6,85.07333333333334,66,156,0.423,23,77,0.299,25,34,0.735,13,52,65,39,21.0,12,7,6,39,40,180,-10.0,101,100,14594,5818,112,129,116,7813,119,78,6295,159,136,5176,187,150,153,134,14670,135,161,14557,14742,79,132,14145
Lineups,-202711-203497-204060-1626220-1627777-,B. Bogdanovic - R. Gobert - J. Ingles - R. O'Neale - G. Niang,1610612762,UTA,11,7,4,0.636,84.95,84,150,0.56,34,76,0.447,29,33,0.879,14,66,80,58,26.0,19,5,7,19,33,231,73.0,211,190,14165,5762,113,94,124,3657,67,81,4026,116,145,3669,164,106,117,80,14705,61,260,14623,14540,113,93,14
